input,output
What does the HS code HS:2901100000 specifically refer to in terms of chemical compounds?,"The HS code HS:2901100000 refers to Saturates, which may or may not be part of Hydrocarbons acyclic."
In which chapter of the Moroccan Customs Department's classification system is the HS code 2901100000 located?,The HS code 2901100000 is located in Chapter 29: Organic Chemicals.
What are the chemicals represented by the HS code 2901100000 typically used for or what properties do they possess?,"The chemicals represented by the HS code 2901100000 are Saturates, which may or may not be part of Hydrocarbons acyclic. The properties and uses of these compounds can vary depending on whether they are indeed Hydrocarbons acyclic."
"What is the first level of classification for Saturates, which may or may not be part of Hydrocarbons acyclic in customs tariff?","The first level of classification for Saturates, which may or may not be part of Hydrocarbons acyclic, is '29' which corresponds to Chapter 29: Organic Chemicals."
What is the specific HS code for Ethylene in Moroccan customs tariff?,HS:2901210000
Which chapter in the Moroccan customs tariff classification does the HS code 2901210000 belong to?,Chapter 29: Organic Chemicals
What type of organic chemicals is represented by the HS code 2901210000 in Moroccan customs tariff classification?,Ethylene
Is Ethylene a part of the alicyclic hydrocarbons according to the HS code 2901210000 in Moroccan customs tariff?,The HS code 2901210000 does not confirm if Ethylene is a part of the alicyclic hydrocarbons
What is the specific HS code for Propylene (Propene)?,HS:2901220000
Which chapter in the Moroccan Customs Tariff does the HS code 2901220000 belong to?,Chapter 29: Organic Chemicals
What is the type of chemical represented by the HS code 2901220000 in Moroccan Customs Tariff?,Propylene (Propene)
Is Propylene (Propene) classified under Aliphatic hydrocarbons or not in the Moroccan Customs Tariff?,The HS code 2901220000 may or may not be included in Aliphatic hydrocarbons
What is the specific HS code for Butene (butylene) and its isomers?,2901230000
Which chapter in the customs tariff classification does the HS code 2901230000 belong to?,Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code 2901230000 in customs tariff classification?,Butene (butylene) and its isomers
What is the first level of classification for Butene (butylene) and its isomers in customs tariff?,29 - Chapter 29: Organic Chemicals
"What is the specific HS code for Buta-1,3-diene and isoprene in Moroccan customs tariff?",HS:2901240000
In which chapter of the Moroccan customs tariff is the HS code 2901240000 located?,Chapter 29: Organic Chemicals
What type of organic chemicals does the HS code 2901240000 represent in Moroccan customs tariff?,"Buta-1,3-diene and isoprene, which may or may not be included in alicyclic hydrocarbons"
"What is the first level of classification for Buta-1,3-diene and isoprene in Moroccan customs tariff?",29 - Chapter 29: Organic Chemicals
What is the HS code for Cyclohexane in Moroccan customs tariff?,HS:2902110000
In which chapter of the Moroccan customs tariff is Cyclohexane classified?,Chapter 29: Organic Chemicals
What type of organic chemical does the HS code HS:2902110000 represent?,Cyclohexane
"Does the HS code HS:2902110000 fall under the category of Hydrocarbons cyclic, cyclanic, cyclenic, or cycloterpenic?",Cyclohexane may or may not be included in this category
What is the specific HS code for benzene according to Moroccan customs?,HS:2902200000
Which chapter in the Moroccan customs tariff classification does the HS code 2902200000 belong to?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code 2902200000 represent in Moroccan customs tariff classification?,"Benzene, which may or may not be a part of Hydrocarbons cyclic, Cyclanical, Cyclenical or Cycloterpenic"
What is the first level of classification for benzene in Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for Toluene?,HS:2902300000
Which chapter in the Moroccan Customs Tariff does the HS code 2902300000 belong to?,Chapter 29: Organic Chemicals
What type of chemical is represented by the HS code 2902300000 in Moroccan Customs Tariff?,Toluene
"Is Toluene a part of the Cyclic Hydrocarbons category (Cyclanics, Cyclenes, or Cycloterpenes)?",Toluene may or may not be a part of the Cyclic Hydrocarbons category
What is the specific HS code for o-Xylene according to Moroccan Customs Department?,HS:2902410000
Which chapter in the Moroccan customs tariff classification does the HS code 2902410000 belong to?,Chapter 29: Organic Chemicals
What type of chemical is represented by the HS code 2902410000 in Moroccan customs tariff classification?,o-Xylene
"Is o-Xylene classified under Cyclic Hydrocarbons (Cyclanics, Cyclenics, or Cycloterpenes) according to the given HS code?","No, o-Xylene is not classified under Cyclic Hydrocarbons with this HS code"
What product is referred to by the HS tariff code HS:2902420000 in Moroccan Customs?,m-Xylene
"Is m-Xylene classified as a Cyclic Cyclanic, Cyclenic or Cycloterpenic hydrocarbon according to the given HS code?","No, m-Xylene may or may not be a part of Cyclic Cyclanic, Cyclenic or Cycloterpenic hydrocarbons"
In which chapter is m-Xylene classified under the Moroccan Customs tariff classification?,Chapter 29: Organic Chemicals
What type of organic chemical does the HS code 2902420000 represent in Moroccan Customs tariff classification?,m-Xylene
What is the specific HS code for p-Xylene in Moroccan Customs Tariff?,HS:2902430000
In which chapter of the Moroccan Customs Tariff is p-Xylene classified?,Chapter 29: Organic Chemicals
What type of chemical is represented by the HS code 2902430000 in Moroccan Customs Tariff?,p-Xylene
What is the first level of classification for p-Xylene in Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
"What is the HS code for Isomers of xylene that may or may not be part of Cyclic, Cyclanic, Cyclopentanic hydrocarbons?",HS:2902440000
Which chapter in the customs tariff classification does the HS code 2902440000 belong to?,Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code 2902440000 in customs tariff classification?,"Isomers of xylene that may or may not be part of Cyclic, Cyclanic, Cyclopentanic hydrocarbons"
"What is the first level of classification for Isomers of xylene that may or may not be part of Cyclic, Cyclanic, Cyclopentanic hydrocarbons in customs tariff?",29 - Chapter 29: Organic Chemicals
What is the specific HS code for Styrene in Moroccan Customs?,HS:2902500000
Which chapter in the Moroccan Customs tariff classification does the HS code 2902500000 belong to?,Chapter 29: Organic Chemicals
What type of chemical is represented by the HS code 2902500000 in Moroccan Customs tariff classification?,Styrene
"Is Styrene included in Hydrocarbons cyclic ( Cyclanes, Cyclenics or Cycloterpenes) according to the HS code 2902500000?","Styrene may or may not be included in Hydrocarbons cyclic ( Cyclanes, Cyclenics or Cycloterpenes)"
What is the HS code for Ethylbenzene in the Moroccan Customs Tariff?,HS:2902600000
Which chapter does the HS code 2902600000 belong to in the Moroccan Customs Tariff?,Chapter 29: Organic Chemicals
What type of chemical is represented by the HS code 2902600000 in the Moroccan Customs Tariff?,Ethylbenzene
